@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
5527,'2023/12/12 00:04:50:281',105,-0.016621,-0.013859,0.087042,-0.091563,-0.260586,-0.105137,1
5528,'2023/12/12 00:04:50:312',105,0.001314,-0.007949,0.066871,-0.290976,-0.14672,-0.070534,1
5529,'2023/12/12 00:04:50:346',105,0.052331,0.023811,0.029287,-0.228717,-0.507279,0.134878,1
5530,'2023/12/12 00:04:50:379',105,0.018835,-0.001531,0.070034,-0.299282,-0.735052,0.104663,1
5531,'2023/12/12 00:04:50:413',105,0.026433,0.022965,0.051018,-0.631017,-0.523138,0.219993,1
5532,'2023/12/12 00:04:50:446',105,-0.016246,0.007991,-0.099951,-0.570403,0.018327,0.251112,1
5533,'2023/12/12 00:04:50:480',105,-0.060231,0.007003,-0.084858,-0.222682,0.13372,0.131532,1
5534,'2023/12/12 00:04:50:512',105,-0.070672,-0.031004,-0.047275,-0.015932,-0.092662,-0.097323,1
5535,'2023/12/12 00:04:50:546',105,-0.023895,-0.009659,-0.045691,0.030191,0.018299,-0.114557,1
5536,'2023/12/12 00:04:50:579',105,-0.027501,0.005286,-0.10533,0.331788,0.081935,-0.12703,1
5537,'2023/12/12 00:04:50:613',105,-0.018264,-0.003145,-0.02291,0.481396,0.071837,-0.143846,1
5538,'2023/12/12 00:04:50:646',105,-0.006352,-0.005279,0.045071,0.131708,0.066706,-0.200649,1
5539,'2023/12/12 00:04:50:679',105,-0.018831,0.004858,-0.011838,0.064342,0.164574,-0.172525,1
5540,'2023/12/12 00:04:50:713',105,0.007708,0.02252,-0.014533,0.249086,0.145419,-0.206532,1
5541,'2023/12/12 00:04:50:746',105,0.046163,0.015216,0.040429,0.421373,-0.202359,-0.141703,1
5542,'2023/12/12 00:04:50:779',105,0.027944,0.004704,0.093385,0.118423,-0.049996,-0.087729,1
5543,'2023/12/12 00:04:50:812',105,0.050316,0.070628,-0.010886,0.172604,0.141007,0.142256,1
5544,'2023/12/12 00:04:50:846',105,0.037022,0.031775,0.050759,0.181563,0.139875,0.289895,1
5545,'2023/12/12 00:04:50:879',105,-0.066179,0.030171,0.070228,-0.037067,-0.049331,0.137588,1
5546,'2023/12/12 00:04:50:913',105,-0.080774,0.008845,0.053523,-0.25128,0.090092,-0.14792,1
5547,'2023/12/12 00:04:50:946',105,-0.068046,0.013413,0.011067,-0.255121,0.008658,-0.397691,1
5548,'2023/12/12 00:04:50:979',105,0.042041,-0.040054,-0.048553,0.102229,-0.180678,-0.335521,1
5549,'2023/12/12 00:04:51:013',105,0.036042,-0.023121,-0.011451,0.154658,-0.108728,-0.128248,1
5550,'2023/12/12 00:04:51:046',105,-0.002161,0.004546,0.025001,-0.020972,0.130954,-0.041435,1
5551,'2023/12/12 00:04:51:079',105,-0.006431,-0.00117,-0.014673,0.053479,0.114432,0.009048,1
5552,'2023/12/12 00:04:51:112',105,-0.030794,-0.015737,0.015408,0.05738,0.039349,-0.081914,1
5553,'2023/12/12 00:04:51:146',105,-0.018358,-0.017964,-0.00699,0.068157,0.056948,-0.130433,1
5554,'2023/12/12 00:04:51:179',105,-0.006242,0.008706,0.027542,0.102753,0.011322,-0.113617,1
5555,'2023/12/12 00:04:51:213',105,-0.003309,0.006437,0.039345,-0.056188,-0.016415,-0.125484,1
5556,'2023/12/12 00:04:51:246',105,0.017249,0.003149,0.016795,-0.103186,0.087294,-0.07913,1
5557,'2023/12/12 00:04:51:279',105,0.006592,0.009518,0.023424,-0.218023,0.012703,-0.106338,1
5558,'2023/12/12 00:04:51:313',105,0.02481,0.015473,-0.035419,-0.049841,-0.022022,-0.09114,1
5559,'2023/12/12 00:04:51:345',105,0.020799,0.022192,-0.008265,0.059911,-0.059646,-0.08645,1
5560,'2023/12/12 00:04:51:379',105,0.019487,0.030188,0.032577,-0.036798,-0.058483,-0.055909,1
5561,'2023/12/12 00:04:51:412',105,0.02215,0.025366,0.016145,-0.110826,0.046902,0.001968,1
5562,'2023/12/12 00:04:51:445',105,0.021301,0.028573,0.021801,-0.117113,0.013699,0.053374,1
5563,'2023/12/12 00:04:51:480',105,0.009059,0.018005,0.010563,-0.120633,-0.084856,0.045413,1
5564,'2023/12/12 00:04:51:513',105,0.003048,0.009928,0.005697,-0.067002,-0.085188,0.052604,1
5565,'2023/12/12 00:04:51:546',105,0.003299,0.012337,0.008836,-0.057555,-0.073144,0.066377,1
5566,'2023/12/12 00:04:51:579',105,-0.020899,-0.000997,-0.000393,-0.053633,0.002895,0.022684,1
5567,'2023/12/12 00:04:51:612',105,-0.008357,0.006861,0.004338,-0.055709,-0.036195,0.025404,1
5568,'2023/12/12 00:04:51:646',105,-0.014358,0.01121,-0.002987,-0.03905,-0.043741,0.033515,1
5569,'2023/12/12 00:04:51:680',105,-0.015062,0.00213,-0.001543,-0.028851,-0.028502,0.03236,1
5570,'2023/12/12 00:04:51:712',105,-0.016321,-0.003337,0.011753,-0.020328,-0.029499,0.003295,1
5571,'2023/12/12 00:04:51:746',105,-0.006621,0.000219,0.02361,-0.069564,-0.040014,0.009601,1
5572,'2023/12/12 00:04:51:779',105,-0.015734,0.006699,-0.011193,-0.068486,-0.043974,-0.001949,1
5573,'2023/12/12 00:04:51:813',105,-0.006507,0.006483,-0.014065,0.02926,0.010905,-0.01127,1
5574,'2023/12/12 00:04:51:846',105,-0.00358,0.002,0.020476,0.049585,-0.05002,-0.026675,1
5575,'2023/12/12 00:04:51:879',105,-0.004422,0.000187,0.030598,-0.016448,-0.041862,-0.028609,1
5576,'2023/12/12 00:04:51:913',105,-0.005,0.005313,0.018324,-0.037698,-0.013567,-0.015642,1
5577,'2023/12/12 00:04:51:946',105,-0.009969,-0.001425,0.007215,0.034052,-0.076919,-0.040631,1
5578,'2023/12/12 00:04:51:980',105,-0.00344,0.003099,0.023365,0.032325,-0.091921,-0.051629,1
5579,'2023/12/12 00:04:52:012',105,-0.012402,0.009699,0.019613,-0.069178,-0.062201,-0.054218,1
5580,'2023/12/12 00:04:52:046',105,-0.001027,0.01676,-0.039235,0.074594,-0.082428,-0.035282,1
5581,'2023/12/12 00:04:52:079',105,-0.005617,0.012833,0.000576,0.199897,-0.183271,-0.049189,1
5582,'2023/12/12 00:04:52:113',105,-0.00685,0.000632,-0.014995,0.301535,-0.43006,-0.117541,1
5583,'2023/12/12 00:04:52:146',105,0.000397,0.019714,-0.033095,0.538617,-0.457707,-0.164763,1
5584,'2023/12/12 00:04:52:179',105,0.023835,0.017246,0.050701,0.191823,-0.022496,-0.043882,1
5585,'2023/12/12 00:04:52:213',105,0.018337,0.018785,0.05821,-0.08938,0.108452,0.059103,1
5586,'2023/12/12 00:04:52:246',105,-0.008151,0.002943,0.015716,-0.147062,0.087203,0.041484,1
5587,'2023/12/12 00:04:52:279',105,-0.00851,0.00556,-0.001434,-0.002833,0.015174,-0.014889,1
5588,'2023/12/12 00:04:52:312',105,0.009162,0.010197,0.027721,-0.036929,-0.00278,0.003662,1
5589,'2023/12/12 00:04:52:346',105,-0.013727,-0.001723,0.019563,-0.094802,0.044222,-0.006984,1
5590,'2023/12/12 00:04:52:379',105,-0.000362,0.009995,-0.008545,-0.029322,-0.007244,-0.013818,1
5591,'2023/12/12 00:04:52:413',105,-0.00211,0.000481,0.011795,-0.009601,-0.023803,-0.000866,1
5592,'2023/12/12 00:04:52:446',105,-0.013572,0.005778,0.028883,-0.06154,-0.057595,-0.022652,1
5593,'2023/12/12 00:04:52:479',105,-0.009092,0.010406,0.008974,-0.068285,-0.12497,-0.048297,1
5594,'2023/12/12 00:04:52:513',105,-0.006875,0.010503,-0.038014,0.061936,-0.046584,-0.030733,1
5595,'2023/12/12 00:04:52:545',105,-0.003102,0.007297,0.008204,0.031671,0.006261,-0.009879,1
5596,'2023/12/12 00:04:52:579',105,-0.004834,0.005657,0.023003,-0.055952,0.01721,0.003312,1
5597,'2023/12/12 00:04:52:611',105,-0.006495,0.008523,0.003162,-0.006899,0.023184,0.002261,1
5598,'2023/12/12 00:04:52:646',105,-0.010219,0.001192,0.00604,0.015444,-0.020527,-0.02646,1
5599,'2023/12/12 00:04:52:679',105,-0.002843,0.005174,0.012774,0.000697,0.003191,-0.026259,1
5600,'2023/12/12 00:04:52:713',105,0.004004,0.010427,0.023531,-0.028089,-0.008915,-0.01262,1
5601,'2023/12/12 00:04:52:746',105,0.003712,0.012209,0.000258,-0.004876,-0.027155,-0.011368,1
5602,'2023/12/12 00:04:52:779',105,0.011251,0.0174,0.00187,-0.009645,0.022604,0.016416,1
5603,'2023/12/12 00:04:52:812',105,0.002829,0.01345,0.012796,-0.015268,0.027383,0.030888,1
5604,'2023/12/12 00:04:52:845',105,-0.002664,0.008998,0.017419,-0.077794,0.050749,0.035268,1
5605,'2023/12/12 00:04:52:879',105,-0.003579,0.007862,-0.007821,-0.029874,0.057358,0.043515,1
5606,'2023/12/12 00:04:52:912',105,-0.008919,0.000337,0.011403,0.045871,0.005707,0.018453,1
5607,'2023/12/12 00:04:52:946',105,-0.011357,-0.001255,0.032373,-0.019262,-0.008464,0.005183,1
5608,'2023/12/12 00:04:52:979',105,-0.016533,-0.000827,0.014658,-0.063559,0.052515,-0.002669,1
5609,'2023/12/12 00:04:53:013',105,0.000851,0.005629,0.007167,0.001217,-0.017927,0.003138,1
5610,'2023/12/12 00:04:53:046',105,-0.010105,-0.000973,0.01624,-0.03848,-0.014366,-0.021532,1
5611,'2023/12/12 00:04:53:079',105,-0.003986,0.013625,-0.000874,-0.02381,-0.005789,-0.011207,1
5612,'2023/12/12 00:04:53:113',105,-0.005538,0.008411,-0.00293,0.008715,-0.01825,-0.004764,1
5613,'2023/12/12 00:04:53:146',105,0.001452,0.009877,-0.007955,0.04244,0.0068,-0.002767,1
5614,'2023/12/12 00:04:53:179',105,-0.00103,0.010148,0.016391,0.034878,-0.015603,-0.004382,1
5615,'2023/12/12 00:04:53:212',105,0.001035,0.004505,0.022593,-0.019827,0.02251,0.005466,1
5616,'2023/12/12 00:04:53:246',105,-0.002077,0.006424,0.011111,-0.024641,0.015709,0.010549,1
5617,'2023/12/12 00:04:53:279',105,0.000983,0.005878,0.003055,0.027507,-0.011695,0.008686,1
5618,'2023/12/12 00:04:53:313',105,-0.003927,0.00152,0.020345,0.01799,-0.039801,0.002018,1
5619,'2023/12/12 00:04:53:346',105,-0.000493,0.004218,0.017583,-0.045411,0.010477,0.010398,1
5620,'2023/12/12 00:04:53:379',105,0.000167,0.005933,0.009159,-0.039357,-0.000119,0.019811,1
5621,'2023/12/12 00:04:53:413',105,-0.006966,0.004567,-0.000445,0.013513,-0.046282,0.007655,1
5622,'2023/12/12 00:04:53:446',105,-0.011496,0.007383,0.005347,0.009156,-0.030805,-0.003938,1
5623,'2023/12/12 00:04:53:480',105,0.003752,0.009543,0.014473,-0.016408,-0.001208,0.012238,1
5624,'2023/12/12 00:04:53:512',105,-0.006926,0.001764,0.013681,-0.057121,0.016503,0.019669,1
5625,'2023/12/12 00:04:53:546',105,-0.005194,0.008156,0.013259,-0.054693,-0.008818,0.023413,1
5626,'2023/12/12 00:04:53:579',105,-0.006607,0.012898,-0.008381,-0.02325,0.0331,0.025917,1
5627,'2023/12/12 00:04:53:613',105,-0.006247,0.006374,0.002115,-0.020971,-0.001358,0.02371,1
5628,'2023/12/12 00:04:53:646',105,-0.009205,0.007215,0.001191,-0.004219,-0.024421,0.005005,1
5629,'2023/12/12 00:04:53:679',105,-0.004103,0.007895,0.002781,-0.010234,0.013715,0.012386,1
5630,'2023/12/12 00:04:53:713',105,-0.004935,0.005227,0.008887,-0.003889,0.019695,0.022901,1
5631,'2023/12/12 00:04:53:745',105,-0.007872,0.00034,0.011026,-0.00968,-0.002806,0.005416,1
5632,'2023/12/12 00:04:53:779',105,-0.007841,-0.000469,0.006465,0.033978,-0.015216,-0.013495,1
5633,'2023/12/12 00:04:53:812',105,-0.006173,0.00382,0.029187,-0.016119,-0.014729,-0.011424,1
5634,'2023/12/12 00:04:53:846',105,-0.00135,0.00497,0.010907,-0.040775,0.00823,-0.003378,1
5635,'2023/12/12 00:04:53:879',105,-0.003125,0.004819,0.001787,-0.004496,-0.015896,-0.004577,1
5636,'2023/12/12 00:04:53:913',105,-0.005247,0.008451,0.002586,-0.006121,-0.02848,-0.025146,1
5637,'2023/12/12 00:04:53:946',105,0.00406,0.015125,-0.000585,-0.00388,0.010657,0.001077,1
5638,'2023/12/12 00:04:53:979',105,-0.000822,0.010204,0.003396,-0.003645,0.009747,0.011787,1
5639,'2023/12/12 00:04:54:012',105,-0.006617,0.006717,0.003156,0.012421,-0.004274,-0.005615,1
5640,'2023/12/12 00:04:54:046',105,0.004219,0.010125,0.016617,0.008119,-0.003548,0.003371,1
5641,'2023/12/12 00:04:54:080',105,0.005253,0.009976,0.014117,-0.017174,0.017372,0.026786,1
5642,'2023/12/12 00:04:54:112',105,-0.006424,0.005261,0.0118,-0.009689,0.001859,0.01015,1
5643,'2023/12/12 00:04:54:146',105,0.002505,0.007109,0.010285,-0.001423,-0.016664,0.013543,1
5644,'2023/12/12 00:04:54:179',105,-0.006619,-0.001441,0.007857,-0.029761,0.019942,0.015948,1
5645,'2023/12/12 00:04:54:213',105,-0.005784,0.005299,0.005586,-0.012951,-0.007199,0.009618,1
5646,'2023/12/12 00:04:54:246',105,-0.000106,0.009435,0.006794,-0.034062,0.007452,0.019475,1
5647,'2023/12/12 00:04:54:279',105,-0.00988,0.004667,0.001868,-0.02079,0.019911,0.013495,1
5648,'2023/12/12 00:04:54:312',105,-0.005454,0.004438,0.009003,0.013708,-0.014446,0.00272,1
5649,'2023/12/12 00:04:54:345',105,-0.003603,0.00416,0.014105,-0.039176,0.012737,0.000554,1
5650,'2023/12/12 00:04:54:379',105,-0.00188,0.005945,0.006698,-0.026908,0.007307,0.005253,1
5651,'2023/12/12 00:04:54:412',105,-0.002988,0.006024,0.001872,0.011444,-0.007546,0.0024,1
5652,'2023/12/12 00:04:54:446',105,-0.003157,0.005212,0.014507,-0.020997,-0.01073,-0.004153,1
5653,'2023/12/12 00:04:54:479',105,0.001156,0.008286,-0.002417,-0.011942,0.022893,0.006731,1
5654,'2023/12/12 00:04:54:513',105,0.00144,0.007495,0.00548,0.013181,0.00258,0.013051,1
5655,'2023/12/12 00:04:54:545',105,-0.004511,0.008574,0.019085,-0.019989,-0.001637,0.009144,1
5656,'2023/12/12 00:04:54:579',105,0.000186,0.008374,0.004857,-0.007105,0.004949,0.017024,1
5657,'2023/12/12 00:04:54:612',105,0.001332,0.004942,0.006504,0.00676,-0.013443,0.015923,1
5658,'2023/12/12 00:04:54:645',105,-0.007325,0.004059,0.006109,0.003556,0.004938,0.005238,1
5659,'2023/12/12 00:04:54:679',105,-0.002231,0.002786,0.013988,-0.009337,0.005403,0.004534,1
5660,'2023/12/12 00:04:54:712',105,-0.00095,0.006824,0.016767,-0.026401,-0.019479,0.016283,1
5661,'2023/12/12 00:04:54:746',105,-0.009902,0.006214,-0.006374,-0.013424,0.005721,0.009176,1
5662,'2023/12/12 00:04:54:778',105,-0.006985,0.006428,-0.000243,0.015042,0.000577,-0.00431,1
5663,'2023/12/12 00:04:54:813',105,0.000625,0.010564,0.012226,-0.013725,0.00026,0.011859,1
5664,'2023/12/12 00:04:54:846',105,-0.006732,0.00716,-0.004309,0.014693,0.026355,0.011307,1
5665,'2023/12/12 00:04:54:879',105,-0.001524,0.003836,0.018633,0.020513,-0.008109,-0.003232,1
5666,'2023/12/12 00:04:54:913',105,0.003173,0.006143,0.020845,-0.022986,0.003138,0.009023,1
5667,'2023/12/12 00:04:54:946',105,-0.004794,0.004815,0.00747,-0.019294,0.012448,0.008706,1
5668,'2023/12/12 00:04:54:979',105,-0.004704,0.005302,0.008283,0.01119,-0.01613,0.001245,1
5669,'2023/12/12 00:04:55:013',105,-0.002353,0.010823,0.01219,-0.004474,-0.009938,0.008538,1
5670,'2023/12/12 00:04:55:045',105,-0.005459,0.003782,-0.009551,-0.002641,0.041105,0.004285,1
5671,'2023/12/12 00:04:55:079',105,-0.008365,0.005647,-0.008573,0.05826,-0.00462,-0.013491,1
5672,'2023/12/12 00:04:55:113',105,-0.002824,0.006289,0.012802,0.03605,-0.006068,-0.002874,1
5673,'2023/12/12 00:04:55:146',105,-0.007498,0.002119,0.019253,-0.043774,0.039986,0.006325,1
5674,'2023/12/12 00:04:55:179',105,-0.008812,0.002642,0.008169,-0.016513,0.016119,-0.00901,1
5675,'2023/12/12 00:04:55:213',105,-0.002376,-0.000597,0.015057,0.010031,-0.027194,-0.024986,1
5676,'2023/12/12 00:04:55:246',105,0.003348,0.007238,0.016297,-0.024128,0.000741,-0.01341,1
5677,'2023/12/12 00:04:55:279',105,0.007063,0.011867,0.014478,-0.036526,-0.001031,0.003166,1
5678,'2023/12/12 00:04:55:313',105,0.001137,0.008452,0.001708,-0.002324,-0.008962,-0.002905,1
5679,'2023/12/12 00:04:55:346',105,0.004451,0.010715,0.007159,-0.000809,-0.014578,0.000606,1
5680,'2023/12/12 00:04:55:379',105,0.002433,0.011047,0.009314,-0.04086,0.013249,0.026517,1
5681,'2023/12/12 00:04:55:413',105,-0.003621,0.00918,-0.004584,-0.028934,0.015899,0.02566,1
5682,'2023/12/12 00:04:55:446',105,-0.012522,0.001542,0.000173,0.029786,-0.011618,0.004851,1
5683,'2023/12/12 00:04:55:480',105,-0.006781,0.001126,0.021432,-0.007211,-0.003614,-0.002454,1
5684,'2023/12/12 00:04:55:512',105,0.000015,0.005329,0.010821,0.00369,-0.002048,0.004062,1
5685,'2023/12/12 00:04:55:546',105,-0.005401,0.00309,0.022284,0.00259,-0.045908,-0.010706,1
5686,'2023/12/12 00:04:55:579',105,-0.001588,0.008627,0.00148,-0.027531,0.006099,-0.004646,1
5687,'2023/12/12 00:04:55:612',105,-0.000861,0.00956,-0.000236,0.016988,-0.026856,0.003946,1
5688,'2023/12/12 00:04:55:645',105,-0.005083,0.00427,0.005124,0.000861,-0.017141,-0.011523,1
5689,'2023/12/12 00:04:55:679',105,0.00165,0.011916,0.001388,0.002317,0.010819,0.005469,1
5690,'2023/12/12 00:04:55:712',105,0.000136,0.008389,0.008226,0.011057,-0.017009,0.013392,1
5691,'2023/12/12 00:04:55:745',105,-0.006529,0.005204,0.005034,0.008091,0.007738,0.006215,1
5692,'2023/12/12 00:04:55:779',105,-0.004646,0.005164,0.016425,0.007768,-0.018385,-0.000999,1
5693,'2023/12/12 00:04:55:812',105,-0.000693,0.001936,0.009584,-0.007632,0.004183,0.002898,1
5694,'2023/12/12 00:04:55:845',105,-0.004797,0.004663,0.005973,0.018701,-0.021832,0.000936,1
5695,'2023/12/12 00:04:55:879',105,-0.001741,0.006993,0.009055,0.041236,-0.057043,-0.013183,1
5696,'2023/12/12 00:04:55:913',105,-0.004788,0.007595,-0.000593,0.044062,-0.046973,-0.009102,1
5697,'2023/12/12 00:04:55:946',105,-0.004267,-0.000209,-0.011964,0.118126,-0.103453,-0.019021,1
5698,'2023/12/12 00:04:55:979',105,-0.011554,0.004095,0.004374,0.220924,-0.181568,-0.071294,1
5699,'2023/12/12 00:04:56:013',105,0.001647,-0.005421,0.004771,0.452666,-0.720268,-0.157935,1
5700,'2023/12/12 00:04:56:046',105,-0.001037,0.023886,-0.051236,0.706109,-0.65492,-0.145642,1
5701,'2023/12/12 00:04:56:079',105,0.027042,0.010934,0.045027,0.323929,-0.129132,-0.014257,1
5702,'2023/12/12 00:04:56:113',105,0.010618,0.022562,0.001624,0.434742,-0.492647,-0.007479,1
5703,'2023/12/12 00:04:56:146',105,0.000941,0.030522,-0.085352,0.932732,-1.011543,-0.097243,1
5704,'2023/12/12 00:04:56:179',105,0.020319,0.020793,-0.022354,1.058074,-0.887669,-0.094226,1
5705,'2023/12/12 00:04:56:213',105,0.033144,0.034942,0.114625,0.56762,-0.828807,-0.065896,1
5706,'2023/12/12 00:04:56:245',105,0.031404,0.023508,0.047816,0.355465,-0.659485,0.021325,1
5707,'2023/12/12 00:04:56:279',105,0.034425,0.015261,0.041645,0.192618,-0.445836,0.121895,1
5708,'2023/12/12 00:04:56:313',105,0.038668,0.010032,0.078504,0.002928,-0.416852,0.141553,1
5709,'2023/12/12 00:04:56:346',105,0.035987,0.01517,0.100744,-0.229053,-0.512184,0.175257,1
5710,'2023/12/12 00:04:56:379',105,-0.031344,-0.004954,-0.005018,-0.277956,-0.450414,0.101575,1
5711,'2023/12/12 00:04:56:413',105,-0.037916,-0.007387,-0.02862,0.017025,-0.865462,-0.110193,1
5712,'2023/12/12 00:04:56:446',105,-0.004771,0.003182,-0.038208,0.334029,-1.400015,-0.210237,1
5713,'2023/12/12 00:04:56:480',105,-0.067156,-0.01184,-0.092156,0.692683,-1.70604,-0.342968,1
5714,'2023/12/12 00:04:56:513',105,-0.046856,-0.025453,-0.033551,0.738389,-1.450816,-0.397678,1
5715,'2023/12/12 00:04:56:546',105,-0.005453,0.00022,-0.000105,0.571206,-1.236554,-0.348396,1
5716,'2023/12/12 00:04:56:579',105,0.010805,-0.004417,-0.058393,0.668348,-1.24421,-0.253272,1
5717,'2023/12/12 00:04:56:612',105,0.025614,0.022566,-0.03363,0.73254,-1.371381,-0.17475,1
5718,'2023/12/12 00:04:56:646',105,0.030502,0.013454,-0.003281,0.444796,-2.28213,-0.017014,1
5719,'2023/12/12 00:04:56:679',105,-0.063772,0.024472,-0.061905,0.177295,-2.150006,-0.353048,1
5720,'2023/12/12 00:04:56:712',105,-0.05009,0.03342,-0.135721,0.499063,-1.872241,-0.700466,1
5721,'2023/12/12 00:04:56:746',105,0.031886,0.035636,-0.076246,0.927274,-1.120486,-0.623722,1
5722,'2023/12/12 00:04:56:779',105,0.096601,0.025797,0.033649,0.856401,-0.767334,-0.262665,1
5723,'2023/12/12 00:04:56:812',105,0.058116,0.02998,0.080627,0.725193,-0.666067,-0.106084,1
5724,'2023/12/12 00:04:56:845',105,0.027255,0.021047,0.090909,0.455261,-0.930566,-0.095739,1
5725,'2023/12/12 00:04:56:879',105,0.030774,-0.006081,0.035529,0.382776,-1.225739,-0.176245,1
5726,'2023/12/12 00:04:56:912',105,-0.023119,-0.002592,-0.010013,0.3688,-1.208122,-0.243917,1
5727,'2023/12/12 00:04:56:946',105,-0.008321,0.00183,-0.042172,0.405683,-1.063506,-0.254084,1
5728,'2023/12/12 00:04:56:979',105,-0.029025,0.015526,-0.036452,0.531145,-1.243845,-0.227202,1
5729,'2023/12/12 00:04:57:012',105,-0.043704,0.00387,-0.073265,0.716832,-1.412785,-0.369489,1
5730,'2023/12/12 00:04:57:045',105,-0.004416,0.002085,-0.08077,0.893291,-1.185781,-0.374472,1
5731,'2023/12/12 00:04:57:079',105,0.000537,0.020092,-0.035002,0.821635,-1.06034,-0.302895,1
5732,'2023/12/12 00:04:57:113',105,-0.018969,0.013708,-0.050052,0.887883,-1.157878,-0.315914,1
5733,'2023/12/12 00:04:57:145',105,-0.017266,0.022398,-0.073856,1.122584,-1.435108,-0.494536,1
5734,'2023/12/12 00:04:57:179',105,0.011023,0.029098,-0.054696,1.093902,-1.313098,-0.400891,1
5735,'2023/12/12 00:04:57:212',105,0.033476,0.014036,-0.017736,0.878586,-0.788891,-0.125362,1
5736,'2023/12/12 00:04:57:245',105,-0.01213,-0.00756,-0.020762,0.762951,-0.537489,0.074967,1
5737,'2023/12/12 00:04:57:278',105,-0.030326,-0.016354,-0.024899,0.737639,-0.382198,0.014193,1
5738,'2023/12/12 00:04:57:312',105,-0.019981,-0.001958,0.011605,0.551337,-0.260034,-0.039151,1
5739,'2023/12/12 00:04:57:345',105,-0.002544,0.012608,-0.01026,0.512904,-0.366123,-0.050498,1
5740,'2023/12/12 00:04:57:378',105,-0.007911,0.016255,-0.050486,0.636964,-0.561792,-0.135483,1
5741,'2023/12/12 00:04:57:412',105,-0.014894,0.011793,-0.054266,0.852713,-0.656955,-0.202969,1
5742,'2023/12/12 00:04:57:445',105,-0.013148,0.010824,-0.031331,0.891601,-0.609734,-0.201372,1
5743,'2023/12/12 00:04:57:479',105,-0.057415,-0.006776,0.011615,0.847747,-0.886974,-0.326043,1
